,0,1
959,571,4143823
960,571,4143823
961,571,4143823
962,571,4143823
963,571,4143823
964,571,4143823
965,571,4143823
966,571,4143823
967,571,4143823
968,571,4143823
969,571,4143823
970,571,4143823
971,571,4143823
972,571,4143823
973,571,4143823
974,571,4143823
975,571,4143823
976,571,4143823
977,571,4143823
978,582,245766
979,591,3491545
980,591,97326
981,591,3491545
982,591,97326
983,591,3491545
984,591,97326
985,591,3491545
986,591,97326
987,591,3491545
988,591,97326
989,591,3491545
990,591,97326
991,591,3491545
992,591,97326
993,591,3491545
994,591,97326
995,591,3491545
996,591,97326
997,591,3491545
998,591,97326
999,609,5168233
1000,610,4717353
1001,610,2584436
1002,610,3478059
1003,614,316982
1004,622,1217993
1005,622,1217993
1006,622,2090253
1007,622,1676511
1008,622,1676511
1009,624,4145532
1010,624,3123773
1011,624,2112730
1012,624,4546022
1013,624,3123773
1014,624,4546022
1015,624,2112730
1016,624,4145532
1017,624,4546022
1018,624,2112730
1019,624,3123773
1020,624,4145532
1021,624,3123773
1022,624,4145532
1023,624,4145532
1024,624,4546022
1025,624,4145532
1026,624,3123773
1027,625,5008651
1028,625,2759316
1029,625,5008651
1030,625,461547
1031,625,5008651
1032,625,3795135
1033,625,5008651
1034,625,461547
1035,625,4002833
1036,625,5125936
1037,625,507353
1038,625,5008651
1039,625,5008651
1040,625,507353
1041,625,4002833
1042,625,5008651
1043,625,4002833
1044,625,507353
1045,630,4871400
1046,630,4432787
1047,630,5554563
1048,630,4871400
1049,630,4432787
1050,630,4871400
1051,630,4432787
1052,630,4432787
1053,630,5554563
1054,631,4357876
1055,644,4630531
1056,644,4630531
1057,644,4630531
1058,644,4630531
1059,644,4630531
1060,644,4630531
1061,644,4630531
1062,650,154104
1063,650,3044490
1064,650,154104
1065,650,3044490
1066,650,978620
1067,650,154104
1068,650,154104
1069,650,978620
1070,650,3044490
1071,650,4859097
1072,650,321127
1073,650,3639498
1074,650,3044490
1075,650,3639498
1076,650,4859097
1077,650,321127
1078,650,978620
1079,650,154104
1080,650,3044490
1081,650,978620
1082,650,225608
1083,650,225608
1084,669,798942
